Text#,Title,Authors,Genres
28,"The Fables of Aesop
Selected, Told Anew, and Their History Traced","['Jacobs, Joseph [Editor]', 'Aesop, 621? BCE-565? BCE']","[""Aesop's fables"", 'Adaptations', 'Fables, Greek', 'Adaptations', 'Harvard Classics', 'Culture/Civilization/Society', 'Literature']"
29,The 1990 United States Census,['United States. Bureau of the Census'],"['United States', 'Population', 'Statistics', 'United States', 'Census', 'Housing', 'United States', 'Statistics', 'Encyclopedias/Dictionaries/Reference', 'History - American']"
30,"The Bible, King James Version, Complete",[],"['Bible', 'Philosophy & Ethics', 'Religion/Spirituality/Paranormal']"
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,"['Storr, Francis [Translator]', 'Sophocles, 496? BCE-407 BCE']","['Tragedies (Drama)', 'Antigone (Mythological character)', 'Drama', 'Oedipus (Greek mythological figure)', 'Drama', 'Greek drama (Tragedy)', 'Translations into English', 'Plays', 'Best Books Ever Listings', 'Harvard Classics']"
32,Herland,"['Gilman, Charlotte Perkins']","['Utopias', 'Fiction', 'Women', 'Fiction', 'Utopian fiction', 'Black humor', 'Best Books Ever Listings', 'Culture/Civilization/Society', 'Gender & Sexuality Studies', 'Literature']"
33,The Scarlet Letter,"['Hawthorne, Nathaniel']","['Adultery', 'Fiction', 'Historical fiction', 'Revenge', 'Fiction', 'Psychological fiction', 'Married women', 'Fiction', 'Clergy', 'Fiction']"
34,Zen and the Art of the Internet,"['Kehoe, Brendan P.']","['Internet', 'Computer networks', 'Information networks', 'Information retrieval', 'Computers & Technology']"
35,The Time Machine,"['Wells, H. G. (Herbert George)']","['Science fiction', 'Time travel', 'Fiction', 'Dystopias', 'Fiction', 'Science Fiction', 'Movie Books', 'Literature', 'Science-Fiction & Fantasy', 'Fiction']"
36,The War of the Worlds,"['Wells, H. G. (Herbert George)']","['Science fiction', 'War stories', 'Martians', 'Fiction', 'Mars (Planet)', 'Fiction', 'Space warfare', 'Fiction', 'Imaginary wars and battles', 'Fiction']"
37,The 1990 United States Census [2nd],['United States. Bureau of the Census'],"['United States', 'Population', 'Statistics', 'United States', 'Census', 'Housing', 'United States', 'Statistics', 'Encyclopedias/Dictionaries/Reference', 'History - American']"
38,"The Jargon File, Version 2.9.10, 01 Jul 1992","['Steele, Guy L. [Editor]', 'Raymond, Eric S. [Editor]']","['Electronic data processing', 'Terminology', 'Humor', 'Computers', 'Humor', 'Computers', 'Slang', 'Dictionaries', 'Computers & Technology', 'Encyclopedias/Dictionaries/Reference']"
39,Hitchhiker's Guide to the Internet,"['Krol, Ed']","['Internet', 'Computer networks', 'Computers & Technology']"
40,NorthWestNet User Services Internet Resource Guide (NUSIRG),"['Kochmer, Jonathan']","['Internet', 'Computers & Technology']"
41,The Legend of Sleepy Hollow,"['Irving, Washington']","['Ghosts', 'Fiction', 'New York (State)', 'History', '1775-1865', 'Fiction', ""Children's Literature"", 'Harvard Classics', 'Children & Young Adult Reading', 'History - American']"
42,The Strange Case of Dr. Jekyll and Mr. Hyde,"['Stevenson, Robert Louis']","['Science fiction', 'Horror tales', 'London (England)', 'Fiction', 'Physicians', 'Fiction', 'Psychological fiction', 'Self-experimentation in medicine', 'Fiction', 'Multiple personality']"
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"['Stevenson, Robert Louis']","['Science fiction', 'Horror tales', 'London (England)', 'Fiction', 'Physicians', 'Fiction', 'Psychological fiction', 'Self-experimentation in medicine', 'Fiction', 'Multiple personality']"
44,The Song of the Lark,"['Cather, Willa']","['Musical fiction', 'Young women', 'Fiction', 'Bildungsromans', 'Chicago (Ill.)', 'Fiction', 'Swedish Americans', 'Fiction', 'Colorado', 'Fiction']"
45,Anne of Green Gables,"['Montgomery, L. M. (Lucy Maud)']","['Orphans', 'Fiction', 'Islands', 'Fiction', 'Friendship', 'Fiction', 'Bildungsromans', 'Girls', 'Fiction', 'Country life']"
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"['Dickens, Charles', 'Leech, John [Illustrator]']","['Christmas stories', 'London (England)', 'Fiction', 'Poor families', 'Fiction', 'Ghost stories', 'Misers', 'Fiction', 'Sick children', 'Fiction']"
47,Anne of Avonlea,"['Montgomery, L. M. (Lucy Maud)']","['Orphans', 'Fiction', 'Islands', 'Fiction', 'Teachers', 'Fiction', 'Prince Edward Island', 'History', '20th century', 'Fiction']"
48,The 1992 CIA World Factbook,['United States. Central Intelligence Agency'],"['World politics', 'Handbooks, manuals, etc.', 'Geography', 'Handbooks, manuals, etc.', 'Political science', 'Handbooks, manuals, etc.', 'Political statistics', 'Handbooks, manuals, etc.', 'CIA World Factbooks', 'Encyclopedias/Dictionaries/Reference']"
49,"Surfing the Internet: An Introduction
Version 2.0.2","['Polly, Jean Armour']","['Internet addresses', 'Directories', 'Computer network resources', 'Directories', 'Electronic mail systems', 'Directories', 'Computers & Technology']"
50,Pi,"['Hemphill, Scott']","['Mathematics', 'Pi', 'Mathematics', 'Mathematics', 'Science - General']"
51,Anne of the Island,"['Montgomery, L. M. (Lucy Maud)']","['Orphans', 'Fiction', 'Prince Edward Island', 'History', '20th century', 'Fiction', 'Interpersonal relations', 'Fiction', 'Canada', 'History']"
52,The Square Root of 2,"['Kerr, Stan']","['Mathematics', 'Square root', 'Mathematics', 'Mathematics', 'Science - General']"
53,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992","['Library of Congress', 'Daly, James [Editor]']","['Text processing (Computer science)', 'Congresses', 'Electronic books', 'Electronic publishing', 'Congresses', 'Computers & Technology', 'Encyclopedias/Dictionaries/Reference']"
54,The Marvelous Land of Oz,"['Baum, L. Frank (Lyman Frank)', 'Neill, John R. (John Rea) [Illustrator]']","['Oz (Imaginary place)', 'Juvenile fiction', 'Fantasy literature', 'Conduct of life', 'Juvenile fiction', 'Friendship', 'Juvenile fiction', 'Voyages and travels', 'Juvenile fiction', 'Magic']"
55,The Wonderful Wizard of Oz,"['Baum, L. Frank (Lyman Frank)']","['Oz (Imaginary place)', 'Juvenile fiction', 'Fantasy literature', 'Courage', 'Juvenile fiction', 'Home', 'Juvenile fiction', 'Good and evil', 'Juvenile fiction', 'Dreams']"
56,NREN for All: Insurmountable Opportunity,"['Polly, Jean Armour']","['Internet', 'National Research and Education Network (Computer network)', 'Business/Management', 'Computers & Technology']"
57,Aladdin and the Magic Lamp,['Unknown'],"['Fairy tales', ""Children's stories"", 'Arabs', 'Folklore', 'Folklore', 'Arab countries', 'Children & Young Adult Reading', 'Culture/Civilization/Society', 'Literature']"
58,Paradise Regained,"['Milton, John']","['English poetry', 'Epic poetry', 'Bible. Gospels', 'History of Biblical events', 'Poetry', 'Jesus Christ', 'Temptation', 'Poetry', 'Literature', 'Poetry']"
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,"['Veitch, John [Translator]', 'Descartes, René']","['Science', 'Methodology', 'Methodology', 'Harvard Classics', 'Philosophy', 'Philosophy & Ethics', 'Psychiatry/Psychology', 'Science - General']"
60,The Scarlet Pimpernel,"['Orczy, Emmuska Orczy, Baroness']","['Historical fiction', 'France', 'History', 'Revolution, 1789-1799', 'Fiction', 'Adventure stories', 'British', 'France', 'Fiction', 'Nobility']"
61,The Communist Manifesto,"['Marx, Karl', 'Engels, Friedrich']","['Socialism', 'Communism', 'Politics', 'Philosophy', ""Banned Books from Anne Haight's list"", 'Philosophy & Ethics', 'Politics', 'Sociology']"
62,A Princess of Mars,"['Burroughs, Edgar Rice']","['Science fiction', 'Mars (Planet)', 'Fiction', 'Princesses', 'Fiction', 'Carter, John (Fictitious character)', 'Fiction', 'Dejah Thoris (Fictitious character)', 'Fiction', 'Science Fiction']"
63,"The Number ""e""",['Unknown'],"['Mathematics', 'Mathematical constants', 'Historical Fiction', 'Mathematics', 'Science - General']"
64,The Gods of Mars,"['Burroughs, Edgar Rice']","['Science fiction', 'Mars (Planet)', 'Fiction', 'Life on other planets', 'Fiction', 'Carter, John (Fictitious character)', 'Fiction', 'Dejah Thoris (Fictitious character)', 'Fiction', 'Science Fiction']"
65,"The First 100,000 Prime Numbers",['Unknown'],"['Mathematics', 'Numbers, Prime', 'Mathematics', 'Science - General']"
66,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,"['Joly, Norman F.']","['Radio broadcasting', 'Computers & Technology']"
67,The Black Experience in America,"['Coombs, Norman']","['African Americans', 'History', 'Slavery', 'United States', 'History', 'History - American', 'History - General']"
68,The warlord of Mars,"['Burroughs, Edgar Rice']","['Science fiction', 'Mars (Planet)', 'Fiction', 'Carter, John (Fictitious character)', 'Fiction', 'Dejah Thoris (Fictitious character)', 'Fiction', 'Science Fiction', 'Literature', 'Science-Fiction & Fantasy']"
69,"The 32nd Mersenne Prime
Predicted by Mersenne","['Slowinski, David']","['Numbers, Prime', 'Number theory', 'Mathematics', 'Mathematics', 'Science - General']"
70,What Is Man? and Other Essays,"['Twain, Mark']","['American essays', 'History - American', 'Literature']"
71,On the Duty of Civil Disobedience,"['Thoreau, Henry David']","['Civil disobedience', 'Government, Resistance to', 'Philosophy & Ethics', 'Politics', 'Sociology']"
72,"Thuvia, Maid of Mars","['Burroughs, Edgar Rice']","['Science fiction', 'Martians', 'Fiction', 'Mars (Planet)', 'Fiction', 'Science Fiction', 'Literature', 'Science-Fiction & Fantasy', 'Fiction']"
73,The Red Badge of Courage: An Episode of the American Civil War,"['Crane, Stephen']","['Historical fiction', 'War stories', 'United States', 'History', 'Civil War, 1861-1865', 'Fiction', 'Virginia', 'History', 'Civil War, 1861-1865', 'Fiction']"
74,"The Adventures of Tom Sawyer, Complete","['Twain, Mark']","['Humorous stories', 'Bildungsromans', 'Boys', 'Fiction', 'Male friendship', 'Fiction', 'Adventure stories', 'Missouri', 'Fiction', 'Sawyer, Tom (Fictitious character)']"
75,E-mail 101,"['Goodwin, John E.']","['Electronic mail systems', 'Computers & Technology']"
76,Adventures of Huckleberry Finn,"['Kemble, E. W. (Edward Windsor) [Illustrator]', 'Twain, Mark']","['Humorous stories', 'Bildungsromans', 'Boys', 'Fiction', 'Male friendship', 'Fiction', 'Adventure stories', 'Missouri', 'Fiction', 'Race relations']"
77,The House of the Seven Gables,"['Hawthorne, Nathaniel']","['Historical fiction', 'Domestic fiction', 'Paranormal fiction', 'Haunted houses', 'Fiction', 'Salem (Mass.)', 'Fiction', 'Best Books Ever Listings', 'Culture/Civilization/Society', 'History - American']"
78,Tarzan of the Apes,"['Burroughs, Edgar Rice']","['Tarzan (Fictitious character)', 'Fiction', 'Africa', 'Fiction', 'Fantasy fiction', 'Adventure stories', 'British', 'Africa', 'Fiction', 'Wild men']"
79,Terminal Compromise,"['Schwartau, Winn']","['Computer security', 'Fiction', 'Didactic fiction', 'Privacy, Right of', 'Fiction', 'Records', 'Access control', 'Fiction', 'Computers & Technology', 'Language & Communication']"
80,The Online World,"['De Presno, Odd']","['Internet', 'Computers & Technology']"
81,The Return of Tarzan,"['Burroughs, Edgar Rice']","['Tarzan (Fictitious character)', 'Fiction', 'Fantasy fiction', 'Adventure stories', 'Literature', 'Science-Fiction & Fantasy', 'Fiction']"
82,Ivanhoe: A Romance,"['Scott, Walter']","['Historical fiction', 'Knights and knighthood', 'Fiction', 'Love stories', 'Triangles (Interpersonal relations)', 'Fiction', 'Great Britain', 'History', 'Richard I, 1189-1199', 'Fiction']"
83,"From the Earth to the Moon; and, Round the Moon","['Verne, Jules']","['Science fiction', 'Space flight to the moon', 'Fiction', 'Moon', 'Fiction', 'Space ships', 'Fiction', 'Manned space flight', 'Fiction', 'Science Fiction']"
84,"Frankenstein; Or, The Modern Prometheus","['Shelley, Mary Wollstonecraft']","['Science fiction', 'Horror tales', 'Gothic fiction', 'Scientists', 'Fiction', 'Monsters', 'Fiction', 'Frankenstein, Victor (Fictitious character)', 'Fiction', ""Frankenstein's monster (Fictitious character)""]"
85,The Beasts of Tarzan,"['Burroughs, Edgar Rice']","['Tarzan (Fictitious character)', 'Fiction', 'Fantasy fiction', 'Jungle animals', 'Fiction', 'Adventure stories', 'Adventure', 'Movie Books', 'Literature', 'Science-Fiction & Fantasy']"
86,A Connecticut Yankee in King Arthur's Court,"['Twain, Mark']","['Fantasy fiction', 'Satire', 'Knights and knighthood', 'Fiction', 'Arthurian romances', 'Adaptations', 'Time travel', 'Fiction', 'Americans', 'Great Britain']"
87,The 1993 CIA World Factbook,['United States. Central Intelligence Agency'],"['World politics', 'Handbooks, manuals, etc.', 'Geography', 'Handbooks, manuals, etc.', 'Political science', 'Handbooks, manuals, etc.', 'Political statistics', 'Handbooks, manuals, etc.', 'CIA World Factbooks', 'Encyclopedias/Dictionaries/Reference']"
88,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,"['Hart, Michael']","['Cost and standard of living', 'Economics', 'Sociology']"
89,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",['Canada'],"['Canada. Treaties, etc. 1992 Oct. 7', 'Tariff', 'Law and legislation', 'North America', 'Free trade', 'North America', 'Foreign trade regulation', 'North America', 'Free trade', 'United States']"
90,The Son of Tarzan,"['Burroughs, Edgar Rice']","['Tarzan (Fictitious character)', 'Fiction', 'Fantasy fiction', 'Adventure stories', 'Adventure', 'Movie Books', 'Contemporary Reviews', 'Science-Fiction & Fantasy', 'Fiction']"
91,Tom Sawyer Abroad,"['Twain, Mark']","['Adventure stories', 'Sawyer, Tom (Fictitious character)', 'Fiction', 'Balloon ascensions', 'Fiction', 'Americans', 'Foreign countries', 'Fiction', 'Literature', 'Travel & Geography']"
92,Tarzan and the Jewels of Opar,"['Burroughs, Edgar Rice']","['Tarzan (Fictitious character)', 'Fiction', 'Fantasy fiction', 'Adventure stories', 'Adventure', 'Movie Books', 'Science-Fiction & Fantasy', 'Fiction']"
93,"Tom Sawyer, Detective","['Twain, Mark']","['Sawyer, Tom (Fictitious character)', 'Fiction', 'Mystery fiction', 'Crime/Mystery', 'Literature', 'Fiction']"
94,Alexander's Bridge,"['Cather, Willa']","['Civil engineers', 'Fiction', 'London (England)', 'Fiction', 'Psychological fiction', 'Married people', 'Fiction', 'Boston (Mass.)', 'Fiction', 'Mistresses']"
95,The prisoner of Zenda,"['Hope, Anthony']","['Love stories', 'Impostors and imposture', 'Fiction', 'Adventure stories', 'British', 'Foreign countries', 'Fiction', 'Kings and rulers', 'Fiction', 'Political kidnapping']"
96,The Monster Men,"['Burroughs, Edgar Rice']","['Science fiction', 'Fantasy fiction', 'Science Fiction', 'Literature', 'Science-Fiction & Fantasy', 'Fiction']"
97,Flatland: A Romance of Many Dimensions,"['Abbott, Edwin Abbott']","['Fourth dimension', 'Mathematics', 'Science Fiction', 'Mathematics', 'Science - General', 'Science-Fiction & Fantasy']"
98,A Tale of Two Cities,"['Dickens, Charles']","['Historical fiction', 'France', 'History', 'Revolution, 1789-1799', 'Fiction', 'London (England)', 'History', '18th century', 'Fiction', 'War stories']"
99,Collected Articles of Frederick Douglass,"['Douglass, Frederick']","['Douglass, Frederick, 1818-1895', 'Slavery', 'African American abolitionists', 'Essays', 'Reconstruction (U.S. history, 1865-1877)', 'Slavery', 'African American Writers', 'Biographies', 'Culture/Civilization/Society', 'History - American']"
100,The Complete Works of William Shakespeare,"['Shakespeare, William']","['English drama', 'Early modern and Elizabethan, 1500-1600', 'Plays', 'Literature', 'Fiction']"
